date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-10-20,17:30 (09:30),Championship,Matchweek 13,Sat,Away,L,1,2,Derby County,1.8,0.7,51,"27,927",Billy Sharp,3-4-1-2,Oliver Langford,Match Report,
2018-10-23,19:45 (11:45),Championship,Matchweek 14,Tue,Home,D,1,1,Stoke City,2.9,0.5,56,"24,463",Leon Clarke,3-4-1-2,Gavin Ward,Match Report,
2018-10-27,15:00 (07:00),Championship,Matchweek 15,Sat,Home,W,4,2,Wigan Athletic,2.9,1.5,52,"24,429",Billy Sharp,3-4-3,Tony Harrington,Match Report,
2018-11-03,15:00 (08:00),Championship,Matchweek 16,Sat,Away,L,0,1,Nott'ham Forest,0.6,0.9,54,"28,757",Billy Sharp,3-5-2,Scott Duncan,Match Report,
2018-11-09,19:45 (12:45),Championship,Matchweek 17,Fri,Home,D,0,0,Sheffield Weds,1.6,0.8,74,"30,261",Billy Sharp,3-4-1-2,Andy Madley,Match Report,
2018-11-24,12:30 (05:30),Championship,Matchweek 18,Sat,Away,D,2,2,Rotherham Utd,2.2,1.3,56,"11,607",Billy Sharp,3-5-2,Peter Bankes,Match Report,
2018-11-27,19:45 (12:45),Championship,Matchweek 19,Tue,Away,W,3,2,Brentford,1.8,0.7,35,"8,903",Oliver Norwood,3-5-2,Steve Martin,Match Report,
2018-12-01,12:30 (05:30),Championship,Matchweek 20,Sat,Home,L,0,1,Leeds United,1.3,1.0,56,"25,794",Billy Sharp,3-4-1-2,Oliver Langford,Match Report,
2018-12-08,17:30 (10:30),Championship,Matchweek 21,Sat,Away,W,2,0,Reading,1.8,0.2,48,"12,066",Oliver Norwood,3-5-2,James Linington,Match Report,
2018-12-14,19:45 (12:45),Championship,Matchweek 22,Fri,Home,L,1,2,West Brom,1.0,1.6,48,"23,400",Billy Sharp,3-4-1-2,Jeremy Simpson,Match Report,
2018-12-22,15:00 (08:00),Championship,Matchweek 23,Sat,Away,D,1,1,Ipswich Town,1.6,0.4,61,"17,942",Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,
2018-12-26,15:00 (08:00),Championship,Matchweek 24,Wed,Home,W,3,1,Derby County,1.9,0.5,50,"28,974",Billy Sharp,3-5-2,Geoff Eltringham,Match Report,
2018-12-29,15:00 (08:00),Championship,Matchweek 25,Sat,Home,W,3,0,Blackburn,2.2,0.8,45,"27,384",Billy Sharp,3-4-1-2,Anthony Taylor,Match Report,
2019-01-01,15:00 (08:00),Championship,Matchweek 26,Tue,Away,W,3,0,Wigan Athletic,1.8,0.9,41,"13,054",Billy Sharp,3-4-1-2,Andy Madley,Match Report,
2019-01-06,14:00 (07:00),FA Cup,Third round,Sun,Home,L,0,1,Barnet,,,65,"9,906",Paul Coutts,3-5-2,Tony Harrington,Match Report,
2019-01-12,15:00 (08:00),Championship,Matchweek 27,Sat,Home,W,1,0,QPR,0.5,0.2,56,"25,501",Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,
2019-01-19,17:30 (10:30),Championship,Matchweek 28,Sat,Away,L,0,1,Swansea City,1.5,1.3,49,"18,673",Billy Sharp,3-4-1-2,John Brooks,Match Report,
,,,,,,,,,,,,,,,,,,
2019-01-26,15:00 (08:00),Championship,Matchweek 29,Sat,Away,D,2,2,Norwich City,2.7,1.0,48,"26,844",Billy Sharp,3-4-1-2,James Linington,Match Report,
2019-02-02,15:00 (08:00),Championship,Matchweek 30,Sat,Home,W,2,0,Bolton,1.5,0.7,56,"26,131",Billy Sharp,3-4-1-2,Keith Stroud,Match Report,
2019-02-08,19:45 (12:45),Championship,Matchweek 31,Fri,Away,D,3,3,Aston Villa,2.8,1.5,44,"34,892",Billy Sharp,3-4-1-2,Tony Harrington,Match Report,
2019-02-13,19:45 (12:45),Championship,Matchweek 32,Wed,Home,W,1,0,Middlesbrough,1.9,0.4,56,"24,805",Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,
2019-02-16,15:00 (08:00),Championship,Matchweek 33,Sat,Home,W,4,0,Reading,2.6,0.4,41,"26,513",Oliver Norwood,3-4-1-2,Robert Jones,Match Report,
2019-02-23,17:30 (10:30),Championship,Matchweek 34,Sat,Away,W,1,0,West Brom,0.5,1.0,44,"24,928",Billy Sharp,3-4-1-2,Oliver Langford,Match Report,
2019-03-04,19:45 (12:45),Championship,Matchweek 35,Mon,Away,D,0,0,Sheffield Weds,0.8,0.6,58,"31,630",Billy Sharp,3-5-2,Peter Bankes,Match Report,
2019-03-09,12:15 (05:15),Championship,Matchweek 36,Sat,Home,W,2,0,Rotherham Utd,1.8,0.1,71,"27,402",Oliver Norwood,3-4-1-2,Geoff Eltringham,Match Report,
2019-03-12,19:45 (12:45),Championship,Matchweek 37,Tue,Home,W,2,0,Brentford,1.8,1.8,31,"24,463",Oliver Norwood,3-4-1-2,Tony Harrington,Match Report,
2019-03-16,12:30 (05:30),Championship,Matchweek 38,Sat,Away,W,1,0,Leeds United,1.0,1.5,31,"37,004",Billy Sharp,3-5-2,David Coote,Match Report,
2019-03-30,15:00 (08:00),Championship,Matchweek 39,Sat,Home,L,2,3,Bristol City,2.1,1.8,51,"30,030",Billy Sharp,3-5-2,James Linington,Match Report,
2019-04-06,15:00 (07:00),Championship,Matchweek 40,Sat,Away,W,1,0,Preston,2.1,1.0,46,"18,339",Billy Sharp,3-4-1-2,Gavin Ward,Match Report,
2019-04-10,19:45 (11:45),Championship,Matchweek 41,Wed,Away,D,1,1,Birmingham City,0.4,0.8,67,"22,351",Billy Sharp,3-4-1-2,Darren Bond,Match Report,
2019-04-13,15:00 (07:00),Championship,Matchweek 42,Sat,Home,D,1,1,Millwall,1.3,2.0,66,"26,703",Billy Sharp,3-5-2,David Webb,Match Report,
2019-04-19,12:30 (04:30),Championship,Matchweek 43,Fri,Home,W,2,0,Nott'ham Forest,1.5,0.4,63,"28,403",Oliver Norwood,3-4-1-2,Andy Madley,Match Report,
2019-04-22,15:00 (07:00),Championship,Matchweek 44,Mon,Away,W,3,0,Hull City,1.4,0.6,40,"14,116",Oliver Norwood,3-4-1-2,Graham Scott,Match Report,
2019-04-27,17:15 (09:15),Championship,Matchweek 45,Sat,Home,W,2,0,Ipswich Town,2.2,0.2,47,"30,140",Oliver Norwood,3-4-1-2,Tim Robinson,Match Report,
2019-05-05,12:30 (04:30),Championship,Matchweek 46,Sun,Away,D,2,2,Stoke City,0.8,1.5,48,"26,665",Billy Sharp,3-4-1-2,Geoff Eltringham,Match Report,
2019-08-10,15:00 (07:00),Premier League,Matchweek 1,Sat,Away,D,1,1,Bournemouth,1.3,1.3,47,"10,714",Oliver Norwood,3-5-2,Kevin Friend,Match Report,
2019-08-18,14:00 (06:00),Premier League,Matchweek 2,Sun,Home,W,1,0,Crystal Palace,2.2,0.3,43,"30,197",Oliver Norwood,3-5-2,David Coote,Match Report,
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Home,L,1,2,Leicester City,0.3,0.8,49,"30,079",Oliver Norwood,3-5-2,Andy Madley,Match Report,
2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Home,W,2,1,Blackburn,,,45,"9,714",Billy Sharp,3-5-2,Geoff Eltringham,Match Report,
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Away,D,2,2,Chelsea,1.1,2.0,38,"40,560",Oliver Norwood,3-5-2,Stuart Attwell,Match Report,
2019-09-14,15:00 (07:00),Premier League,Matchweek 5,Sat,Home,L,0,1,Southampton,1.8,1.6,49,"30,985",Oliver Norwood,3-5-2,Lee Mason,Match Report,
2019-09-21,15:00 (07:00),Premier League,Matchweek 6,Sat,Away,W,2,0,Everton,0.5,1.0,31,"39,354",Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Home,L,0,1,Sunderland,,,66,"11,675",Phil Jagielka,3-5-2,Tim Robinson,Match Report,
2019-09-28,12:30 (04:30),Premier League,Matchweek 7,Sat,Home,L,0,1,Liverpool,1.3,1.9,30,"31,774",Oliver Norwood,3-5-2,Anthony Taylor,Match Report,
2019-10-05,15:00 (07:00),Premier League,Matchweek 8,Sat,Away,D,0,0,Watford,0.4,1.4,60,"20,811",Oliver Norwood,3-5-2,Andre Marriner,Match Report,
2019-10-21,20:00 (12:00),Premier League,Matchweek 9,Mon,Home,W,1,0,Arsenal,0.9,1.0,33,"30,775",Oliver Norwood,3-5-2,Mike Dean,Match Report,
2019-10-26,15:00 (07:00),Premier League,Matchweek 10,Sat,Away,D,1,1,West Ham,1.0,2.3,40,"59,878",Oliver Norwood,3-5-2,David Coote,Match Report,
2019-11-02,15:00 (08:00),Premier League,Matchweek 11,Sat,Home,W,3,0,Burnley,2.3,0.8,45,"31,131",Oliver Norwood,3-5-2,Simon Hooper,Match Report,
2019-11-09,15:00 (08:00),Premier League,Matchweek 12,Sat,Away,D,1,1,Tottenham,0.9,1.8,39,"59,781",Oliver Norwood,3-5-2,Graham Scott,Match Report,
2019-11-24,16:30 (09:30),Premier League,Matchweek 13,Sun,Home,D,3,3,Manchester Utd,1.3,1.3,41,"32,024",Oliver Norwood,3-5-2,Andre Marriner,Match Report,
