date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-08-14,19:30 (11:30),EFL Cup,First round,Tue,Home,D,1 (10),1 (9),Bury,,,63,"8,172",Ben Watson,4-2-3-1,Scott Duncan,Match Report,Nott'ham Forest won on penalty kicks following extra time
2018-08-18,15:00 (07:00),Championship,Matchweek 3,Sat,Away,D,2,2,Wigan Athletic,1.3,3.7,50,"11,543",Danny Fox,4-2-3-1,Geoff Eltringham,Match Report,
2018-08-25,17:30 (09:30),Championship,Matchweek 5,Sat,Home,D,2,2,Birmingham City,0.4,0.7,58,"26,799",Ben Watson,4-2-3-1,Tim Robinson,Match Report,
2018-08-29,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,3,1,Newcastle Utd,,,46,"13,942",Ben Watson,4-2-3-1,Jeremy Simpson,Match Report,
2018-09-01,15:00 (07:00),Championship,Matchweek 6,Sat,Away,L,1,2,Brentford,0.2,1.9,45,"10,186",Ben Watson,4-2-3-1,Peter Bankes,Match Report,
2018-09-15,15:00 (07:00),Championship,Matchweek 7,Sat,Away,D,0,0,Swansea City,0.8,0.2,59,"19,522",Danny Fox,4-2-3-1,Scott Duncan,Match Report,
2018-09-19,19:45 (11:45),Championship,Matchweek 8,Wed,Home,W,2,1,Sheffield Weds,1.4,0.5,58,"26,252",Danny Fox,4-2-3-1,Tony Harrington,Match Report,
2018-09-22,15:00 (07:00),Championship,Matchweek 9,Sat,Home,W,1,0,Rotherham Utd,1.3,0.3,61,"27,479",Ben Watson,4-2-3-1,Robert Jones,Match Report,
2018-09-26,19:45 (11:45),EFL Cup,Third round,Wed,Home,W,3,2,Stoke City,,,51,"12,915",Ben Watson,4-2-3-1,Darren England,Match Report,
2018-09-29,15:00 (07:00),Championship,Matchweek 10,Sat,Away,D,2,2,Blackburn,3.3,1.9,52,"14,440",Danny Fox,4-2-3-1,Andy Madley,Match Report,
2018-10-03,19:45 (11:45),Championship,Matchweek 11,Wed,Home,D,2,2,Millwall,0.3,2.3,56,"25,753",Danny Fox,4-2-3-1,Jonathan Moss,Match Report,
2018-10-06,15:00 (07:00),Championship,Matchweek 12,Sat,Away,W,2,0,Middlesbrough,1.2,1.4,46,"24,299",Ben Watson,4-2-3-1,John Brooks,Match Report,
2018-10-20,15:00 (07:00),Championship,Matchweek 13,Sat,Home,L,1,2,Norwich City,0.8,2.4,44,"29,427",Ben Watson,4-2-3-1,Keith Stroud,Match Report,
2018-10-24,20:00 (12:00),Championship,Matchweek 14,Wed,Away,W,3,0,Bolton,2.5,0.5,61,"13,195",Michael Dawson,4-2-3-1,Andrew Davies,Match Report,
2018-10-27,17:30 (09:30),Championship,Matchweek 15,Sat,Away,D,1,1,Leeds United,0.2,1.7,30,"34,308",Danny Fox,4-2-3-1,Geoff Eltringham,Match Report,
2018-10-30,19:45 (12:45),EFL Cup,Fourth round,Tue,Away,L,2,3,Burton Albion,,,60,"4,284",Ben Watson,4-2-3-1,John Brooks,Match Report,
2018-11-03,15:00 (08:00),Championship,Matchweek 16,Sat,Home,W,1,0,Sheffield Utd,0.9,0.6,46,"28,757",Michael Dawson,4-2-3-1,Scott Duncan,Match Report,
2018-11-10,15:00 (08:00),Championship,Matchweek 17,Sat,Home,D,0,0,Stoke City,0.9,0.7,54,"28,556",Michael Dawson,4-2-3-1,Oliver Langford,Match Report,
2018-11-24,15:00 (08:00),Championship,Matchweek 18,Sat,Away,W,2,0,Hull City,1.4,0.3,60,"3,364",Michael Dawson,4-2-3-1,Graham Scott,Match Report,
2018-11-28,19:45 (12:45),Championship,Matchweek 19,Wed,Away,D,5,5,Aston Villa,1.5,3.5,37,"32,868",Michael Dawson,4-2-3-1,Simon Hooper,Match Report,
2018-12-01,15:00 (08:00),Championship,Matchweek 20,Sat,Home,W,2,0,Ipswich Town,2.8,0.7,55,"27,873",Michael Dawson,4-2-3-1,James Linington,Match Report,
2018-12-08,15:00 (08:00),Championship,Matchweek 21,Sat,Home,L,0,1,Preston,1.0,1.4,62,"27,777",Ben Osborn,4-2-3-1,Steve Martin,Match Report,
2018-12-17,19:45 (12:45),Championship,Matchweek 22,Mon,Away,D,0,0,Derby County,0.8,0.9,50,"31,160",Ben Osborn,4-2-3-1,Keith Stroud,Match Report,
2018-12-22,15:00 (08:00),Championship,Matchweek 23,Sat,Home,L,0,1,QPR,1.1,0.4,68,"28,177",Ben Osborn,4-2-3-1,Gavin Ward,Match Report,
2018-12-26,15:00 (08:00),Championship,Matchweek 24,Wed,Away,D,3,3,Norwich City,0.7,4.0,40,"26,933",Danny Fox,4-2-3-1,John Brooks,Match Report,
2018-12-29,15:00 (08:00),Championship,Matchweek 25,Sat,Away,L,0,1,Millwall,0.4,1.3,65,"15,273",Danny Fox,4-2-3-1,Tony Harrington,Match Report,
2019-01-01,15:00 (08:00),Championship,Matchweek 26,Tue,Home,W,4,2,Leeds United,1.6,2.1,38,"29,530",Danny Fox,4-2-3-1,Darren England,Match Report,
,,,,,,,,,,,,,,,,,,
2019-01-05,15:00 (08:00),FA Cup,Third round,Sat,Away,L,0,2,Chelsea,,,38,"40,544",Danny Fox,4-2-3-1,Andy Madley,Match Report,
2019-01-12,15:00 (08:00),Championship,Matchweek 27,Sat,Away,L,0,2,Reading,0.4,0.6,45,"15,034",Danny Fox,4-2-3-1,Oliver Langford,Match Report,
2019-01-19,15:00 (08:00),Championship,Matchweek 28,Sat,Home,L,0,1,Bristol City,0.9,1.4,51,"28,922",Claudio Yacob,4-4-2,Jeremy Simpson,Match Report,
2019-01-26,15:00 (08:00),Championship,Matchweek 29,Sat,Home,W,3,1,Wigan Athletic,1.0,2.5,55,"28,848",Ben Watson,4-3-3,Alan Davies,Match Report,
2019-02-02,15:00 (08:00),Championship,Matchweek 30,Sat,Away,L,0,2,Birmingham City,0.6,1.5,53,"24,235",Ben Watson,4-1-4-1,David Webb,Match Report,
2019-02-09,15:00 (08:00),Championship,Matchweek 31,Sat,Home,W,2,1,Brentford,3.2,1.8,31,"27,829",Ben Watson,4-2-3-1,Robert Jones,Match Report,
2019-02-12,20:00 (13:00),Championship,Matchweek 32,Tue,Away,D,2,2,West Brom,1.6,1.6,33,"22,691",Ben Watson,4-2-3-1,Lee Mason,Match Report,
2019-02-16,15:00 (08:00),Championship,Matchweek 33,Sat,Away,D,0,0,Preston,0.9,0.6,40,"13,904",Jack Colback,4-1-2-1-2◆,Tim Robinson,Match Report,
2019-02-25,19:45 (12:45),Championship,Matchweek 34,Mon,Home,W,1,0,Derby County,1.8,0.7,37,"29,421",Ben Watson,4-1-4-1,Robert Jones,Match Report,
2019-03-02,15:00 (08:00),Championship,Matchweek 35,Sat,Away,L,0,2,Stoke City,1.0,0.5,50,"26,736",Ben Watson,4-1-4-1,Roger East,Match Report,
