date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2019-08-13,19:45 (11:45),EFL Cup,First round,Tue,Home,W,3,1,Northampton,,,59,"8,058",Kyle Naughton,4-2-3-1,Kevin Johnson,Match Report,
2019-08-17,15:00 (07:00),Championship,Matchweek 3,Sat,Home,W,3,2,Preston,0.8,1.7,49,"15,250",Matt Grimes,4-2-3-1,Dean Whitestone,Match Report,
2019-08-21,19:45 (11:45),Championship,Matchweek 4,Wed,Away,W,3,1,QPR,2.3,1.6,49,"12,287",Matt Grimes,4-2-3-1,Paul Tierney,Match Report,
2019-08-25,12:00 (04:00),Championship,Matchweek 5,Sun,Home,W,3,0,Birmingham City,1.7,0.2,73,"17,277",Matt Grimes,4-2-3-1,Andy Woolmer,Match Report,
2019-08-28,19:45 (11:45),EFL Cup,Second round,Wed,Home,W,6,0,Cambridge Utd,,,61,"8,763",Kyle Naughton,4-2-3-1,Michael Salisbury,Match Report,
2019-08-31,15:00 (07:00),Championship,Matchweek 6,Sat,Away,W,1,0,Leeds United,0.5,2.0,39,"34,935",Matt Grimes,4-2-3-1,Darren Bond,Match Report,
2019-09-14,15:00 (07:00),Championship,Matchweek 7,Sat,Home,L,0,1,Nott'ham Forest,0.4,1.9,62,"17,102",Matt Grimes,4-2-3-1,James Linington,Match Report,
2019-09-21,15:00 (07:00),Championship,Matchweek 8,Sat,Away,D,0,0,Bristol City,1.1,1.2,57,"22,885",Matt Grimes,4-2-3-1,Tony Harrington,Match Report,
2019-09-24,19:45 (11:45),EFL Cup,Third round,Tue,Away,L,1,2,Watford,,,55,"8,903",Matt Grimes,4-2-3-1,Darren Bond,Match Report,
2019-09-28,15:00 (07:00),Championship,Matchweek 9,Sat,Home,D,1,1,Reading,1.9,0.8,49,"16,036",Matt Grimes,4-2-3-1,Keith Stroud,Match Report,
2019-10-02,19:45 (11:45),Championship,Matchweek 10,Wed,Away,W,2,1,Charlton Ath,1.9,0.4,48,"15,741",Matt Grimes,4-2-3-1,Peter Bankes,Match Report,
2019-10-05,15:00 (07:00),Championship,Matchweek 11,Sat,Home,L,1,2,Stoke City,2.1,2.8,54,"16,612",Matt Grimes,4-2-3-1,Oliver Langford,Match Report,
2019-10-19,15:00 (07:00),Championship,Matchweek 12,Sat,Away,D,1,1,Barnsley,2.5,1.6,60,"12,424",Matt Grimes,4-2-3-1,Andy Woolmer,Match Report,
2019-10-22,19:45 (11:45),Championship,Matchweek 13,Tue,Home,L,0,3,Brentford,1.1,0.8,56,"15,875",Matt Grimes,4-2-3-1,Gavin Ward,Match Report,
2019-10-27,12:00 (05:00),Championship,Matchweek 14,Sun,Home,W,1,0,Cardiff City,1.1,0.8,56,"20,270",Matt Grimes,4-2-3-1,Robert Jones,Match Report,
2019-11-02,12:30 (05:30),Championship,Matchweek 15,Sat,Away,W,2,1,Wigan Athletic,0.4,1.5,62,"9,080",Matt Grimes,4-2-3-1,Peter Bankes,Match Report,
2019-11-09,15:00 (08:00),Championship,Matchweek 16,Sat,Away,D,2,2,Sheffield Weds,2.7,2.7,54,"23,073",Matt Grimes,4-2-3-1,David Webb,Match Report,
2019-11-23,15:00 (08:00),Championship,Matchweek 17,Sat,Home,L,0,1,Millwall,1.2,1.0,67,"16,840",Matt Grimes,4-2-3-1,Andrew Davies,Match Report,
2019-11-26,19:45 (12:45),Championship,Matchweek 18,Tue,Away,D,1,1,Huddersfield,0.8,1.6,42,"20,062",Matt Grimes,4-2-3-1,Jarred Gillett,Match Report,
2019-11-29,19:45 (12:45),Championship,Matchweek 19,Fri,Home,L,1,2,Fulham,1.9,1.5,47,"16,024",Matt Grimes,4-2-3-1,Simon Hooper,Match Report,
2019-12-08,12:00 (05:00),Championship,Matchweek 20,Sun,Away,L,1,5,West Brom,1.4,3.2,48,"22,927",Matt Grimes,4-2-3-1,Keith Stroud,Match Report,
2019-12-11,19:45 (12:45),Championship,Matchweek 21,Wed,Home,D,1,1,Blackburn,0.7,0.5,57,"14,162",Matt Grimes,4-3-3,Jeremy Simpson,Match Report,
2019-12-14,15:00 (08:00),Championship,Matchweek 22,Sat,Home,W,3,1,Middlesbrough,1.2,0.5,61,"14,625",Matt Grimes,4-3-3,Dean Whitestone,Match Report,
2019-12-21,15:00 (08:00),Championship,Matchweek 23,Sat,Away,W,1,0,Luton Town,3.0,1.1,56,"10,062",Matt Grimes,4-3-3,David Webb,Match Report,
2019-12-26,15:00 (08:00),Championship,Matchweek 24,Thu,Away,L,1,3,Brentford,1.2,2.3,47,"11,848",Matt Grimes,4-3-3,Andy Woolmer,Match Report,
2019-12-29,15:00 (08:00),Championship,Matchweek 25,Sun,Home,D,0,0,Barnsley,1.5,1.3,51,"17,097",Matt Grimes,4-3-3,Anthony Coggins,Match Report,
2020-01-02,19:45 (12:45),Championship,Matchweek 26,Thu,Home,W,1,0,Charlton Ath,1.1,1.2,54,"15,352",Matt Grimes,4-3-3,Peter Bankes,Match Report,
2020-01-05,14:01 (07:01),FA Cup,Third round,Sun,Away,L,1,5,QPR,,,42,"6,712",Nathan Dyer,4-2-3-1,Steve Martin,Match Report,
2020-01-12,12:00 (05:00),Championship,Matchweek 27,Sun,Away,D,0,0,Cardiff City,0.6,1.5,50,"28,529",Matt Grimes,4-2-3-1,Tony Harrington,Match Report,
2020-01-18,15:00 (08:00),Championship,Matchweek 28,Sat,Home,W,2,1,Wigan Athletic,1.9,0.8,49,"15,659",Matt Grimes,4-2-3-1,James Linington,Match Report,
2020-01-25,15:00 (08:00),Championship,Matchweek 29,Sat,Away,L,0,2,Stoke City,0.6,2.1,62,"22,593",Matt Grimes,4-2-3-1,Gavin Ward,Match Report,
2020-02-01,15:00 (08:00),Championship,Matchweek 30,Sat,Away,D,1,1,Preston,1.1,0.6,44,"12,502",Matt Grimes,4-2-3-1,Geoff Eltringham,Match Report,
2020-02-08,15:00 (08:00),Championship,Matchweek 31,Sat,Home,L,2,3,Derby County,2.0,0.9,49,"16,230",Matt Grimes,4-1-4-1,Matt Donohue,Match Report,
,,,,,,,,,,,,,,,,,,
2020-02-11,19:45 (12:45),Championship,Matchweek 32,Tue,Home,D,0,0,QPR,0.5,1.7,54,"14,778",Matt Grimes,4-1-4-1,Andy Woolmer,Match Report,
2020-02-14,19:45 (12:45),Championship,Matchweek 33,Fri,Away,D,4,4,Hull City,2.3,1.9,60,"9,757",Matt Grimes,4-2-3-1,David Webb,Match Report,
2020-02-22,15:00 (08:00),Championship,Matchweek 34,Sat,Home,W,3,1,Huddersfield,2.6,1.3,39,"15,148",Matt Grimes,4-2-3-1,Andrew Davies,Match Report,
2020-02-26,19:45 (12:45),Championship,Matchweek 35,Wed,Away,L,0,1,Fulham,0.8,1.7,37,"17,626",Matt Grimes,4-2-3-1,Tim Robinson,Match Report,
