date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2022-04-02,15:00 (07:00),Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,1.8,0.1,76,"21,249",İlkay Gündoğan,4-3-3,Craig Pawson,Match Report,
2022-04-05,20:00 (12:00),Champions Lg,Quarter-finals,Tue,Home,W,1,0,es Atlético Madrid,1.0,0.0,70,"52,018",İlkay Gündoğan,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-10,16:30 (08:30),Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.3,1.3,55,"53,197",Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
2022-04-13,21:00 (12:00),Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Atlético Madrid,1.2,0.8,59,"65,675",İlkay Gündoğan,4-3-3,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
2022-04-16,15:30 (07:30),FA Cup,Semi-finals,Sat,Home,L,2,3,Liverpool,,,49,"73,793",Fernandinho,4-3-3,Michael Oliver,Match Report,
2022-04-20,20:00 (12:00),Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.3,0.2,65,"52,226",İlkay Gündoğan,4-3-3,Mike Dean,Match Report,
2022-04-23,15:00 (07:00),Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.6,0.5,73,"53,013",Fernandinho,4-2-3-1,Kevin Friend,Match Report,
2022-04-26,20:00 (12:00),Champions Lg,Semi-finals,Tue,Home,W,4,3,es Real Madrid,2.7,1.6,59,"52,217",Rúben Dias,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-30,17:30 (09:30),Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.4,1.3,58,"35,771",İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
2022-05-04,21:00 (12:00),Champions Lg,Semi-finals,Wed,Away,L,1,3,es Real Madrid,1.4,2.3,55,"61,416",Rúben Dias,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-05-08,16:30 (08:30),Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.1,0.8,71,"53,336",İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,
2022-05-11,20:15 (12:15),Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.3,0.5,66,"32,000",Fernandinho,4-2-3-1,Martin Atkinson,Match Report,
2022-05-15,14:00 (06:00),Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.4,1.1,78,"59,972",Fernandinho,4-3-3,Anthony Taylor,Match Report,
2022-05-22,16:00 (08:00),Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.4,0.2,71,"53,395",Fernandinho,4-3-3,Michael Oliver,Match Report,
2022-07-30,17:00 (09:00),Community Shield,FA Community Shield,Sat,Neutral,L,1,3,Liverpool,,,57,,Rúben Dias,4-3-3,Craig Pawson,Match Report,
2022-08-07,16:30 (08:30),Premier League,Matchweek 1,Sun,Away,W,2,0,West Ham,2.2,0.5,75,"62,443",İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2022-08-13,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,W,4,0,Bournemouth,1.7,0.1,67,"53,453",İlkay Gündoğan,4-2-3-1,David Coote,Match Report,
2022-08-21,16:30 (08:30),Premier League,Matchweek 3,Sun,Away,D,3,3,Newcastle Utd,2.1,1.8,69,"52,258",İlkay Gündoğan,4-3-3,Jarred Gillett,Match Report,
2022-08-27,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,4,2,Crystal Palace,2.2,0.1,74,"53,112",Kevin De Bruyne,4-2-3-1,Darren England,Match Report,
2022-08-31,19:30 (11:30),Premier League,Matchweek 5,Wed,Home,W,6,0,Nott'ham Forest,3.3,0.7,74,"53,409",İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
2022-09-03,17:30 (09:30),Premier League,Matchweek 6,Sat,Away,D,1,1,Aston Villa,2.1,0.3,71,"41,830",İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
2022-09-06,21:00 (12:00),Champions Lg,Group stage,Tue,Away,W,4,0,es Sevilla,3.6,0.3,61,"38,764",Kevin De Bruyne,4-3-3,Davide Massa,Match Report,
2022-09-14,20:00 (12:00),Champions Lg,Group stage,Wed,Home,W,2,1,de Dortmund,1.0,0.7,66,"50,441",İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,
