date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-11-03,15:00 (08:00),Premier League,Matchweek 11,Sat,Home,W,4,2,Burnley,2.4,1.1,63,"56,862",Pablo Zabaleta,4-1-4-1,Roger East,Match Report,
2018-11-10,15:00 (08:00),Premier League,Matchweek 12,Sat,Away,D,1,1,Huddersfield,1.7,1.1,56,"24,069",Pablo Zabaleta,4-1-4-1,Chris Kavanagh,Match Report,
2018-11-24,15:00 (08:00),Premier League,Matchweek 13,Sat,Home,L,0,4,Manchester City,0.9,2.7,31,"56,886",Pablo Zabaleta,4-2-3-1,Andre Marriner,Match Report,
2018-12-01,15:00 (08:00),Premier League,Matchweek 14,Sat,Away,W,3,0,Newcastle Utd,2.5,1.0,41,"51,853",Mark Noble,4-4-2,Paul Tierney,Match Report,
2018-12-04,19:45 (12:45),Premier League,Matchweek 15,Tue,Home,W,3,1,Cardiff City,1.7,2.1,60,"56,811",Mark Noble,4-4-2,Graham Scott,Match Report,
2018-12-08,15:00 (08:00),Premier League,Matchweek 16,Sat,Home,W,3,2,Crystal Palace,1.2,0.7,49,"56,995",Mark Noble,4-4-2,Anthony Taylor,Match Report,
2018-12-15,17:30 (10:30),Premier League,Matchweek 17,Sat,Away,W,2,0,Fulham,0.8,1.3,44,"24,081",Mark Noble,4-4-2,Mike Dean,Match Report,
2018-12-22,15:00 (08:00),Premier League,Matchweek 18,Sat,Home,L,0,2,Watford,2.0,2.3,52,"56,833",Mark Noble,4-4-2,Lee Mason,Match Report,
2018-12-27,19:45 (12:45),Premier League,Matchweek 19,Thu,Away,W,2,1,Southampton,1.2,1.2,54,"31,654",Aaron Cresswell,4-2-3-1,Craig Pawson,Match Report,
2018-12-30,14:15 (07:15),Premier League,Matchweek 20,Sun,Away,L,0,2,Burnley,0.8,2.7,57,"20,933",Mark Noble,4-4-2,David Coote,Match Report,
2019-01-02,19:45 (12:45),Premier League,Matchweek 21,Wed,Home,D,2,2,Brighton,0.8,0.7,55,"59,870",Pablo Zabaleta,4-4-2,Chris Kavanagh,Match Report,
2019-01-05,12:30 (05:30),FA Cup,Third round,Sat,Home,W,2,0,Birmingham City,,,73,"54,840",Adrián,4-1-4-1,Roger East,Match Report,
2019-01-12,12:30 (05:30),Premier League,Matchweek 22,Sat,Home,W,1,0,Arsenal,0.6,0.7,42,"59,946",Mark Noble,4-2-3-1,Jonathan Moss,Match Report,
2019-01-19,15:00 (08:00),Premier League,Matchweek 23,Sat,Away,L,0,2,Bournemouth,1.1,1.1,61,"10,495",Mark Noble,4-2-3-1,Simon Hooper,Match Report,
2019-01-26,19:45 (12:45),FA Cup,Fourth round,Sat,Away,L,2,4,AFC Wimbledon,,,67,"4,777",Mark Noble,4-4-2,Anthony Taylor,Match Report,
2019-01-29,19:45 (12:45),Premier League,Matchweek 24,Tue,Away,L,0,3,Wolves,0.2,2.2,45,"31,122",Mark Noble,4-4-2,David Coote,Match Report,
2019-02-04,20:00 (13:00),Premier League,Matchweek 25,Mon,Home,D,1,1,Liverpool,0.8,1.1,27,"59,903",Mark Noble,4-1-4-1,Kevin Friend,Match Report,
,,,,,,,,,,,,,,,,,,
2019-02-09,15:00 (08:00),Premier League,Matchweek 26,Sat,Away,D,1,1,Crystal Palace,1.7,2.6,42,"25,552",Mark Noble,4-1-4-1,Craig Pawson,Match Report,
2019-02-22,19:45 (12:45),Premier League,Matchweek 27,Fri,Home,W,3,1,Fulham,2.4,1.3,55,"59,950",Mark Noble,4-1-4-1,Lee Mason,Match Report,
2019-02-27,20:00 (13:00),Premier League,Matchweek 28,Wed,Away,L,0,1,Manchester City,0.4,3.5,25,"53,528",Andy Carroll,4-2-3-1,Stuart Attwell,Match Report,
2019-03-02,17:30 (10:30),Premier League,Matchweek 29,Sat,Home,W,2,0,Newcastle Utd,2.0,1.1,56,"59,910",Mark Noble,4-1-4-1,Chris Kavanagh,Match Report,
2019-03-09,15:00 (08:00),Premier League,Matchweek 30,Sat,Away,L,0,2,Cardiff City,0.3,3.5,70,"32,458",Mark Noble,4-1-4-1,Graham Scott,Match Report,
2019-03-16,15:00 (08:00),Premier League,Matchweek 31,Sat,Home,W,4,3,Huddersfield,1.7,1.0,64,"59,931",Mark Noble,4-1-4-1,Jonathan Moss,Match Report,
2019-03-30,17:30 (10:30),Premier League,Matchweek 32,Sat,Home,L,0,2,Everton,0.1,1.8,49,"59,988",Aaron Cresswell,4-4-2,Paul Tierney,Match Report,
2019-04-08,20:00 (12:00),Premier League,Matchweek 33,Mon,Away,L,0,2,Chelsea,0.6,1.9,47,"40,537",Mark Noble,4-2-3-1,Chris Kavanagh,Match Report,
2019-04-13,17:30 (09:30),Premier League,Matchweek 34,Sat,Away,L,1,2,Manchester Utd,1.4,2.5,57,"74,478",Mark Noble,4-1-4-1,Graham Scott,Match Report,
2019-04-20,15:00 (07:00),Premier League,Matchweek 35,Sat,Home,D,2,2,Leicester City,1.2,0.9,49,"59,960",Mark Noble,4-1-4-1,Lee Probert,Match Report,
2019-04-27,12:30 (04:30),Premier League,Matchweek 36,Sat,Away,W,1,0,Tottenham,1.1,1.6,38,"60,043",Mark Noble,4-1-4-1,Anthony Taylor,Match Report,
2019-05-04,15:00 (07:00),Premier League,Matchweek 37,Sat,Home,W,3,0,Southampton,1.9,0.5,56,"59,961",Mark Noble,4-1-4-1,Stuart Attwell,Match Report,
2019-05-12,15:00 (07:00),Premier League,Matchweek 38,Sun,Away,W,4,1,Watford,3.1,2.2,51,"20,067",Mark Noble,4-1-4-1,Chris Kavanagh,Match Report,
2019-08-10,12:30 (04:30),Premier League,Matchweek 1,Sat,Home,L,0,5,Manchester City,1.1,3.2,43,"59,870",Aaron Cresswell,4-2-3-1,Mike Dean,Match Report,
2019-08-17,15:00 (07:00),Premier League,Matchweek 2,Sat,Away,D,1,1,Brighton,0.8,2.0,43,"30,459",Angelo Ogbonna,4-1-4-1,Anthony Taylor,Match Report,
2019-08-24,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,W,3,1,Watford,3.5,2.3,45,"20,035",Mark Noble,4-2-3-1,Chris Kavanagh,Match Report,
2019-08-27,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,2,0,Newport County,,,73,"6,382",Pablo Zabaleta,4-1-4-1,Steve Martin,Match Report,
2019-08-31,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,W,2,0,Norwich City,2.0,1.4,48,"59,950",Mark Noble,4-1-4-1,Paul Tierney,Match Report,
2019-09-16,20:00 (12:00),Premier League,Matchweek 5,Mon,Away,D,0,0,Aston Villa,0.6,1.3,54,"42,010",Mark Noble,4-1-4-1,Mike Dean,Match Report,
2019-09-22,14:00 (06:00),Premier League,Matchweek 6,Sun,Home,W,2,0,Manchester Utd,0.4,0.9,47,"59,936",Mark Noble,4-1-4-1,Anthony Taylor,Match Report,
2019-09-25,19:45 (11:45),EFL Cup,Third round,Wed,Away,L,0,4,Oxford United,,,63,"10,450",Pablo Zabaleta,4-1-4-1,Robert Jones,Match Report,
2019-09-28,15:00 (07:00),Premier League,Matchweek 7,Sat,Away,D,2,2,Bournemouth,1.6,1.9,50,"10,729",Mark Noble,4-1-4-1,Stuart Attwell,Match Report,
2019-10-05,17:30 (09:30),Premier League,Matchweek 8,Sat,Home,L,1,2,Crystal Palace,1.4,2.1,52,"59,912",Mark Noble,4-1-4-1,Michael Oliver,Match Report,
